Referencia interna;Nombre
050645;"[203-6.5K] Lucerna - Lampara Spot DirigibleLED 3W 2-1/2"" 6500K Luz Blanca Redonda Empotrar Borde Blanco 270lm"
050697;"[209ML-6.5K] Lucerna - Lampara Panel MaxiLumen Alta Potencia LED 9W 2.5"" 6500K Luz Fria Redonda Empotrable 900lm"
061411;"[2152RBB] Astra - Monitor 21.5"" 100Hz HDMI / VGA"
100054;[21XL-NEGRO] Maxiprint - Cartucho Tinta Negro 21XL
060649;[222-00034] Microsoft - Mouse Inalambrico Bluetooth Ergonomico [Melocoton]
100055;[22XL-COLOR] Maxiprint - Cartucho Tinta Color 22XL
061412;"[2382RBB] Astra - Monitor 23.8"" 100Hz HDMI / VGA"
061341;[240V-BOX] Pecron - Caja de Conexión Conector Paralelo 240V Compatible con E3600LFP
050592;[24W-T8-6.5K] Lucerna - Bombillo LED Tubo T8 24W 6500K Luz Fria 2160lm 120 cm
061409;"[2702BXF] Astra - Monitor 27"" 100Hz HDMI / DP con Audio"
061410;"[2708JXH] Astra - Monitor Gaming 27"" 180Hz 2 HDMI / DP con Audio"
050486;[28W-VH-E14-3K] Lucerna - Bombillo Halogeno Vela 28W Luz Calida Rosca E14
050605;"[304CL-3K] Lucerna - Lampara Panel Driver/Integrado LED Compact Lumen 4W 3"" 3000K Luz Calida Redonda Empotrar 280lm"
050297;"[304CL-6.5K] Lucerna - Lampara Panel Driver/Integrado LED Compact Lumen 4W 3"" 6500K Luz Fria Redonda Empotrar 280lm"
021121;[305CAT6EXT] WireTech - Cable UTP CAT6 (Categoria 6) Exterior (Negro) [Bobina 305 Metros]
050292;[307-3k] Lucerna - Lampara Spot DirigibleLED 7W 3000K Luz Calida Redonda Empotrar Borde Blanco 630lm
